Item,Price,Stock
Item_117,493,60
Item_118,347,45
Item_119,432,66
Item_120,87,62
Item_121,186,53
Item_122,228,26
Item_123,107,9
Item_124,391,44
Item_125,396,23
Item_126,307,76
Item_127,126,35
Item_128,331,75
Item_129,46,55
Item_130,441,69
Item_131,332,18
Item_132,475,74
Item_133,191,19
Item_134,347,31
Item_135,190,22
Item_136,184,21
Item_137,255,18
Item_138,445,85
Item_139,155,89
Item_140,175,48
Item_141,155,63
Item_142,344,16
Item_143,86,62
Item_144,261,10
Item_145,441,74
Item_146,477,25
Item_147,293,32
Item_148,391,7
Item_149,453,60
Item_150,396,8
Item_151,122,6
Item_152,297,38
Item_153,116,69
Item_154,436,79
Item_155,137,61
Item_156,324,41
Item_157,215,83
Item_158,167,67
Item_159,413,8
Item_160,344,18
Item_161,448,19
Item_162,67,3
Item_163,170,67
Item_164,200,58
Item_165,247,32
Item_166,320,52
Item_167,369,5
Item_168,268,64
Item_169,99,23
Item_170,424,5
Item_171,116,71
Item_172,67,88
Item_173,411,72
Item_174,252,8
Item_175,363,20
Item_176,98,90
Item_177,65,3
Item_178,477,34
Item_179,268,69
Item_180,221,88
Item_181,419,83
Item_182,131,30
Item_183,70,5
Item_184,199,43
Item_185,333,24
Item_186,299,82
Item_187,103,79
Item_188,421,20
Item_189,307,40
Item_190,167,99
Item_191,430,27
Item_192,147,9
Item_193,76,87
Item_194,347,72
Item_195,71,82
Item_196,117,8
Item_197,63,32
Item_198,116,31
Item_199,383,38
Item_200,311,57
Item_201,483,99
Item_202,484,33
Item_203,263,43
Item_204,199,28
Item_205,178,53
Item_206,358,69
Item_207,140,11
Item_208,260,46
Item_209,196,49
Item_210,434,44
Item_211,109,60
Item_212,192,96
Item_213,176,56
Item_214,446,53
Item_215,232,6
Item_216,317,32
Item_217,329,25
Item_218,97,8
Item_219,63,45
Item_220,77,10
Item_221,142,24
Item_222,388,35
Item_223,361,40
Item_224,215,27
Item_225,109,83
Item_226,404,67
Item_227,247,10
Item_228,109,75
Item_229,181,40
Item_230,374,24
Item_231,263,40
Item_232,413,87
Item_233,394,16
Item_234,476,12
Item_235,358,21
Item_236,65,69
Item_237,148,67
Item_238,397,49
Item_239,288,73
Item_240,444,33
Item_241,280,34
Item_242,50,25
Item_243,221,16
Item_244,248,59
Item_245,263,64
Item_246,192,73
Item_247,342,49
Item_248,56,3
Item_249,307,2
Item_250,93,36
Item_251,378,40
Item_252,455,62
Item_253,87,65
Item_254,373,9
Item_255,198,80
Item_256,99,13
Item_257,494,22
Item_258,100,82
Item_259,89,46
Item_260,206,34
Item_261,386,41
Item_262,384,71
Item_263,413,16
Item_264,400,67
Item_265,317,17
Item_266,392,78
Item_267,367,43
Item_268,237,87
Item_269,440,63
Item_270,495,24
Item_271,90,15
Item_272,459,63
Item_273,244,22
Item_274,441,18
Item_275,407,9
Item_276,439,33
Item_277,460,42
Item_278,427,37
Item_279,164,55
Item_280,79,38
Item_281,255,83
Item_282,288,35
Item_283,161,78
Item_284,173,46
Item_285,480,18
Item_286,176,87
Item_287,440,92
Item_288,324,7
Item_289,268,57
Item_290,184,90
Item_291,155,91
Item_292,128,67
Item_293,476,53
Item_294,478,71
Item_295,444,57
Item_296,434,16
Item_297,157,30
Item_298,88,18
Item_299,479,71
Item_300,454,87
Item_301,460,42
Item_302,467,95
Item_303,394,56
Item_304,218,51
Item_305,506,50
Item_306,494,83
Item_307,198,25
Item_308,141,60
Item_309,110,78
Item_310,116,82
Item_311,392,72
Item_312,353,98
Item_313,331,46
Item_314,53,55
Item_315,183,68
Item_316,220,40
Item_317,318,39
Item_318,155,23
Item_319,110,94
Item_320,143,25
Item_321,447,19
Item_322,252,42
Item_323,309,66
Item_324,262,71
Item_325,269,29
Item_326,241,34
Item_327,434,4
Item_328,86,76
Item_329,295,65
Item_330,80,33
Item_331,347,17
Item_332,480,44
Item_333,159,28
Item_334,178,91
Item_335,353,61
Item_336,233,87
Item_337,437,82
Item_338,155,35
Item_339,457,12
Item_340,357,70
Item_341,395,90
Item_342,194,91
Item_343,229,29
Item_344,130,77
Item_345,326,59
Item_346,243,83
Item_347,266,86
Item_348,412,24
Item_349,407,38
Item_350,479,98
Item_351,236,62
Item_352,346,30
Item_353,135,38
Item_354,345,96
Item_355,373,16
Item_356,66,38
Item_357,372,51
Item_358,375,59
Item_359,229,11
Item_360,387,35
Item_361,323,26
Item_362,438,7
Item_363,380,28
Item_364,224,34
Item_365,412,21
Item_366,467,81
Item_367,213,57
Item_368,102,28
Item_369,184,47
Item_370,252,66
Item_371,413,75
Item_372,212,73
Item_373,432,49
Item_374,454,14
Item_375,495,43
Item_376,423,71
Item_377,252,60
Item_378,352,1
Item_379,52,10
Item_380,119,73
Item_381,314,33
Item_382,480,30
Item_383,463,21
Item_384,223,58
Item_385,249,69
Item_386,162,29
Item_387,159,30
Item_388,256,88
Item_389,51,12
Item_390,365,98
Item_391,271,26
Item_392,155,45
Item_393,401,58
Item_394,405,88
Item_395,397,66
Item_396,351,12
Item_397,304,80
Item_398,99,99
Item_399,298,43
Item_400,299,85
Item_401,459,59
Item_402,165,6
Item_403,352,39
Item_404,150,38
Item_405,199,49
Item_406,423,19
Item_407,473,12
Item_408,112,81
Item_409,481,98
Item_410,293,48
Item_411,155,98
Item_412,244,6
Item_413,147,4
Item_414,75,73
Item_415,263,30
Item_416,256,49
Item_417,333,87
Item_418,269,32
Item_419,203,26
Item_420,313,31
Item_421,333,1
Item_422,110,99
Item_423,272,18
Item_424,282,98
Item_425,186,44
Item_426,319,96
Item_427,421,74
Item_428,423,34
Item_429,110,25
Item_430,430,68
Item_431,123,14
Item_432,486,94
Item_433,270,11
Item_434,104,48
Item_435,255,88
Item_436,111,53
Item_437,478,93
Item_438,318,58
Item_439,268,21
Item_440,162,13
Item_441,87,99
Item_442,208,33
Item_443,307,49
Item_444,66,14
Item_445,202,33
Item_446,91,60
Item_447,396,77
Item_448,429,18
Item_449,61,48
Item_450,170,19
Item_451,59,92
Item_452,469,98
Item_453,286,13
Item_454,248,40
Item_455,457,52
Item_456,289,43
Item_457,444,42
Item_458,422,32
Item_459,464,51
Item_460,82,24
Item_461,61,48
Item_462,151,65
Item_463,197,66
Item_464,395,31
Item_465,498,15
Item_466,287,75
Item_467,456,62
Item_468,104,53
Item_469,487,73
Item_470,250,71
Item_471,340,27
Item_472,219,62
Item_473,460,49
Item_474,372,62
Item_475,193,18
Item_476,402,80
Item_477,451,59
Item_478,370,27
Item_479,171,93
Item_480,271,32
Item_481,268,51
Item_482,211,75
Item_483,185,41
Item_484,188,29
Item_485,470,71
Item_486,60,55
Item_487,69,60
Item_488,448,97
Item_489,458,15
Item_490,257,10
Item_491,140,83
Item_492,292,54
Item_493,456,47
Item_494,180,73
Item_495,135,39
Item_496,490,90
Item_497,283,4
Item_498,77,58
Item_499,290,11
Item_500,228,43
