OrderID,CustomerID,Product,Quantity
O273,C105,Laptop,1
O274,C53,Tablet,1
O275,C195,Smartphone,3
O276,C164,Laptop,3
O277,C37,Laptop,4
O278,C178,Tablet,1
O279,C91,Smartphone,4
O280,C188,Smartphone,3
O281,C75,Monitor,1
O282,C174,Smartphone,2
O283,C105,Monitor,4
O284,C60,Monitor,3
O285,C22,Smartphone,1
O286,C190,Monitor,2
O287,C61,Tablet,1
O288,C17,Smartphone,3
O289,C20,Tablet,1
O290,C5,Laptop,2
O291,C115,Printer,1
O292,C43,Smartphone,2
O293,C172,Smartphone,2
O294,C196,Laptop,2
O295,C66,Tablet,4
O296,C129,Monitor,3
O297,C139,Tablet,3
O298,C26,Tablet,1
O299,C171,Smartphone,2
O300,C23,Laptop,4
O301,C81,Monitor,4
O302,C129,Printer,1
O303,C66,Printer,3
O304,C25,Smartphone,4
O305,C74,Tablet,1
O306,C24,Smartphone,1
O307,C90,Monitor,4
O308,C183,Smartphone,2
O309,C14,Laptop,4
O310,C79,Smartphone,2
O311,C89,Laptop,4
O312,C49,Laptop,3
O313,C104,Laptop,1
O314,C29,Laptop,4
O315,C130,Tablet,4
O316,C155,Tablet,4
O317,C69,Printer,3
O318,C89,Laptop,2
O319,C163,Tablet,3
O320,C60,Laptop,3
O321,C128,Monitor,1
O322,C28,Laptop,4
O323,C158,Monitor,1
O324,C169,Smartphone,3
O325,C175,Printer,3
O326,C100,Monitor,4
O327,C73,Laptop,1
O328,C129,Printer,4
O329,C145,Laptop,1
O330,C61,Monitor,1
O331,C128,Printer,1
O332,C138,Laptop,4
O333,C182,Printer,1
O334,C116,Smartphone,3
O335,C128,Smartphone,2
O336,C175,Tablet,3
O337,C4,Smartphone,2
O338,C110,Laptop,3
O339,C33,Laptop,4
O340,C170,Monitor,2
O341,C95,Laptop,1
O342,C67,Tablet,2
O343,C43,Laptop,4
O344,C93,Printer,3
O345,C101,Monitor,4
O346,C160,Smartphone,4
O347,C193,Tablet,3
O348,C79,Smartphone,4
O349,C172,Monitor,4
O350,C56,Printer,1
O351,C22,Smartphone,4
O352,C20,Tablet,4
O353,C2,Smartphone,2
O354,C46,Monitor,2
O355,C20,Printer,4
O356,C171,Laptop,4
O357,C79,Monitor,2
O358,C30,Monitor,1
O359,C3,Monitor,4
O360,C177,Monitor,4
O361,C152,Monitor,1
O362,C105,Tablet,3
O363,C123,Monitor,1
O364,C92,Tablet,2
O365,C101,Laptop,2
O366,C132,Monitor,2
O367,C117,Monitor,2
O368,C99,Laptop,3
O369,C157,Smartphone,2
O370,C173,Tablet,2
O371,C62,Tablet,1
O372,C112,Printer,1
O373,C58,Tablet,3
O374,C160,Laptop,4
O375,C42,Monitor,1
O376,C2,Smartphone,2
O377,C58,Laptop,2
O378,C166,Laptop,3
O379,C105,Printer,3
O380,C2,Tablet,1
O381,C189,Monitor,1
O382,C166,Smartphone,1
O383,C161,Smartphone,1
O384,C103,Printer,4
O385,C63,Laptop,3
O386,C178,Tablet,3
O387,C174,Smartphone,3
O388,C100,Smartphone,4
O389,C178,Tablet,4
O390,C47,Printer,4
O391,C13,Tablet,2
O392,C182,Smartphone,1
O393,C10,Printer,1
O394,C32,Smartphone,3
O395,C123,Printer,3
O396,C127,Laptop,2
O397,C29,Printer,1
O398,C8,Laptop,2
O399,C131,Printer,1
O400,C48,Laptop,3
O401,C33,Laptop,1
O402,C184,Monitor,3
O403,C58,Tablet,2
O404,C138,Printer,1
O405,C41,Tablet,4
O406,C141,Smartphone,3
O407,C93,Tablet,4
O408,C183,Smartphone,1
O409,C10,Monitor,4
O410,C12,Printer,2
O411,C159,Smartphone,4
O412,C159,Laptop,1
O413,C165,Printer,1
O414,C35,Printer,4
O415,C67,Monitor,2
O416,C22,Monitor,1
O417,C114,Monitor,2
O418,C193,Laptop,3
O419,C12,Printer,1
O420,C70,Laptop,4
O421,C91,Tablet,3
O422,C103,Printer,2
O423,C85,Monitor,3
O424,C183,Tablet,4
O425,C50,Monitor,4
O426,C84,Smartphone,3
O427,C164,Printer,1
O428,C71,Monitor,2
O429,C187,Tablet,3
O430,C120,Tablet,3
O431,C142,Smartphone,2
O432,C67,Monitor,3
O433,C40,Tablet,3
O434,C168,Tablet,1
O435,C129,Laptop,3
O436,C5,Monitor,3
O437,C146,Laptop,2
O438,C194,Tablet,1
O439,C49,Printer,1
O440,C55,Laptop,2
O441,C49,Monitor,3
O442,C70,Printer,4
O443,C74,Tablet,2
O444,C67,Laptop,3
O445,C126,Tablet,1
O446,C132,Printer,4
O447,C146,Laptop,4
O448,C156,Monitor,2
O449,C187,Monitor,4
O450,C166,Printer,4
O451,C19,Tablet,3
O452,C103,Smartphone,1
O453,C108,Laptop,4
O454,C196,Printer,4
O455,C45,Printer,2
O456,C44,Tablet,4
O457,C63,Monitor,4
O458,C80,Printer,4
O459,C45,Smartphone,1
O460,C73,Laptop,2
O461,C64,Laptop,1
O462,C124,Printer,1
O463,C118,Monitor,1
O464,C13,Tablet,3
O465,C64,Printer,1
O466,C3,Printer,4
O467,C200,Laptop,2
O468,C142,Tablet,3
O469,C102,Printer,1
O470,C138,Tablet,1
O471,C161,Smartphone,4
O472,C129,Smartphone,4
O473,C78,Monitor,4
O474,C35,Laptop,1
O475,C39,Monitor,2
O476,C147,Printer,1
O477,C22,Smartphone,4
O478,C4,Laptop,2
O479,C122,Monitor,2
O480,C117,Smartphone,3
O481,C16,Tablet,1
O482,C69,Monitor,4
O483,C180,Laptop,4
O484,C198,Monitor,2
O485,C191,Monitor,1
O486,C148,Smartphone,4
O487,C13,Monitor,3
O488,C53,Printer,3
O489,C70,Laptop,3
O490,C45,Laptop,2
O491,C175,Monitor,1
O492,C106,Monitor,3
O493,C67,Smartphone,1
O494,C105,Monitor,3
O495,C111,Smartphone,1
O496,C187,Monitor,3
O497,C95,Monitor,1
O498,C80,Smartphone,4
O499,C45,Smartphone,4
O500,C62,Printer,3
