id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
515921,Apartment near centre with amazing view over city,2541099,Anne-Marie,,Zuid,52.35022,4.8525,Entire home/apt,207,3,100,2024-08-27,0.65,1,118,6,0363 676E D52D A47D 768A
517996,Bright Canal house with amazing view! @the Jordaan,2550339,Aemilia,,Centrum-West,52.37827,4.88568,Entire home/apt,255,3,30,2024-08-25,0.20,1,172,3,0363 7EFC D96F 5878 3F49
522471,Beautiful 2-storey appartment+roof terrace (135 m),2569931,Harriet,,Bos en Lommer,52.3774,4.851,Entire home/apt,,9,29,2024-08-11,0.20,1,0,1,0363 1139 9247 9E72 640C
528022,Somewhere Else,2594559,Els,,Westerpark,52.39114,4.88846,Private room,125,2,330,2024-10-30,3.22,1,237,39,0363 9289 A94D 5C21 A579
537321,Comfortable apartment perfect location,2639261,Vera,,De Baarsjes - Oud-West,52.37275,4.86189,Entire home/apt,,29,33,2022-05-21,0.30,1,0,0,0363 5D25 30AA 5523 4B79
538723,Beautiful ground floor apartment,356740,Dimphy,,Watergraafsmeer,52.354,4.93965,Entire home/apt,,5,57,2020-01-01,0.37,1,0,0,0363 D990 F92F DECF 88D4
549310,Two-bedrooms Apartment with Garden in town,2699033,Barbara,,De Baarsjes - Oud-West,52.37126,4.86241,Entire home/apt,315,1,62,2024-08-16,0.53,1,3,3,0363 35CD 76C9 04D4 1A21
553514,"B&B WestergasTverblijf , Cosy!",618589,Mirjam,,Westerpark,52.38444,4.86916,Entire home/apt,69,2,162,2020-02-16,1.09,1,151,0,0363 AD82 ADCF 17F3 C3EA
556829,"peaceful stay near city centre,  airport & forrest",2737834,Sophia,,Buitenveldert - Zuidas,52.33558,4.86878,Entire home/apt,125,3,28,2024-04-21,0.18,2,29,1,0363 957A 9061 D805 A3EC
568446,Pretty apt in the center of A'dam,2797260,Noriko,,Centrum-Oost,52.37079,4.90153,Entire home/apt,,3,108,2022-08-04,0.71,1,0,0,0363 2BD0 289D BF51 4A09
570753,Southern Comfort near Vondelpark,2439449,Henriette,,Zuid,52.34904,4.86765,Private room,105,4,391,2024-10-20,2.55,1,198,6,0363 7215 8083 16CB E805
575603,Loft right in the city centre,2830952,Henning,,Centrum-Oost,52.36112,4.89462,Entire home/apt,,5,22,2025-01-03,0.17,1,3,1,0363 6703 A9A1 6C28 ECD5
575615,Appartment in centre of Amsterdam.,2831228,Veronique,,Centrum-Oost,52.37213,4.90293,Entire home/apt,,3,40,2024-07-26,0.26,1,0,1,0363 E723 7958 A2EB BC83
579851,Private Studio on Spectacular Houseboat,2851886,Sonja,,Westerpark,52.39144,4.88436,Private room,128,2,617,2025-02-16,4.09,1,9,37,0363 74BB 1569 D1B7 ADBE
582028,GREAT Full family apartment with great park view,2865851,Oliver,,Slotervaart,52.36022,4.84346,Entire home/apt,187,3,12,2023-03-18,0.09,1,40,0,0363 6AE3 C6BD AA79 AB13
582382,Spacious and well located,2868026,Emer,,Oud-Noord,52.39442,4.91478,Entire home/apt,,2,20,2024-07-21,0.13,1,0,1,0363 DAA7 B561 AC39 BB65
584258,Comfortable clean loft next to Vondelpark!,2878977,Jis,,Zuid,52.35499,4.85384,Entire home/apt,,3,21,2024-09-27,0.18,1,0,8,0363 B366 413F 7CD5 64DB
588020,Large 3 bedroom apartment surrounde,1759884,Ivan,,Centrum-Oost,52.36918,4.91316,Entire home/apt,427,3,365,2025-02-11,2.98,2,214,57,Exempt
590236,Our Cozy Third floor Home,2912339,Kelli,,De Baarsjes - Oud-West,52.36809,4.85436,Entire home/apt,150,3,57,2025-01-02,0.38,1,211,6,0363 058A D932 3063 B1F7
590386,amazing apartment in Amsterdam!!,2913467,Ido,,Watergraafsmeer,52.35567,4.93175,Entire home/apt,170,7,8,2024-08-09,0.05,1,11,1,0363 A0F4 086A 0905 8765
590681,Beautiful large family garden house Vondelpark,2914846,Lotte,,Zuid,52.34788,4.8506,Entire home/apt,,2,29,2024-07-16,0.19,1,0,4,0363 9A2B 5A8C 1B13 AF1B
591951,House on waterfront in Amsterdam,2580855,Martine,,Bijlmer-Oost,52.32582,4.98403,Entire home/apt,285,1,64,2020-08-16,0.42,1,361,0,0363 5BAB 71FE 97EC 530D
606871,Modern Houseboat | Jordaan area | A unique stay!,3007402,Diewert,,Westerpark,52.37621,4.87075,Private room,128,1,578,2025-02-22,4.02,1,288,84,0363 48AF 9151 13B6 2543
608432,Sleep at Amy's B'n'B Front Room,3015785,Erik And Mary Jo,,Centrum-West,52.381996,4.888583,Private room,85,1,956,2025-02-26,6.26,2,38,90,0363 AACD 8155 9F76 50DA
613088,Your own cottage in the countryside,3040748,Henk,,Noord-Oost,52.41016,4.96369,Private room,91,2,415,2023-05-28,2.72,8,61,0,0363 C2FC D0FB 68D9 2F58
620056,"Light, spacious apartment in cool Westerpark area",2782084,Marieke,,Westerpark,52.3884,4.87148,Entire home/apt,212,3,34,2024-10-21,0.22,1,83,5,0363 2FF0 BE81 5B19 5B5A
623123,Beautiful and spacious apartment with big rooftop,2695123,Janne,,De Baarsjes - Oud-West,52.36247,4.86534,Entire home/apt,378,3,34,2024-08-11,0.22,1,24,4,0363 C125 F449 C407 9F89
627188,Sleep at Amy's B'n'B Garden Room,3015785,Erik And Mary Jo,,Centrum-West,52.381996,4.888583,Private room,91,1,654,2025-02-14,4.27,2,38,53,0363 AACD 8155 9F76 50DA
627213,"Houseboat near museums, the Pijp, two lovely cats",3113556,Ingmar,,Zuid,52.35094,4.88552,Entire home/apt,,7,16,2024-08-17,0.10,1,0,2,0363 DDEB 4C21 A90A B9DD
633585,"Amazing, spacious Amsterdam Apt.",898904,Sietske,,De Pijp - Rivierenbuurt,52.34918,4.89197,Entire home/apt,,3,99,2024-07-31,0.65,1,0,7,0363 7E98 4CFE 07C1 0AD3
634170,"'Westerpark Sanctuary', Office-Apt. across W-Park.",3078488,Carolina,,Westerpark,52.38388,4.86562,Entire home/apt,112,91,148,2022-06-30,0.97,1,183,0,Exempt
638555,Sunrise View Houseboat,2531171,Carmen,,Oostelijk Havengebied - Indische Buurt,52.37696,4.94073,Entire home/apt,420,2,19,2019-06-25,0.13,1,11,0,0363 754F 45F4 E4AC 3994
646957,Cosy happy family appartment,3243217,Luuk,,De Pijp - Rivierenbuurt,52.346999734171334,4.891685356600203,Entire home/apt,,4,4,2025-02-19,0.39,1,5,4,0363 76C8 4EFD A159 8E3D
653459,"VeryBig luxurious family house A""dam own parking",1634910,Derk,,Buitenveldert - Zuidas,52.32237,4.86024,Entire home/apt,,6,18,2022-07-31,0.20,1,0,0,0363 05B8 09C7 203A E42A
654931,"A-location, ensuite bathroom, centre - Milkmaid -",3278419,Matthijs,,Centrum-West,52.37167,4.8948,Hotel room,132,1,989,2025-02-27,6.52,2,206,85,0363 4587 2DC3 051C 3FCA
655216,A-location ensuite bathroom centre 'Pearl Earring',3278419,Matthijs,,Centrum-West,52.37098,4.89434,Hotel room,,1,898,2025-02-25,5.94,2,216,92,0363 4587 2DC3 051C 3FCA
660856,Entire house / 4 floors art-filled family-friendly,3336575,Maaike,,Watergraafsmeer,52.3551,4.93262,Entire home/apt,395,4,42,2024-08-15,0.28,1,7,2,0363 528E 3889 FA20 43A1
664697,Design Waterfront flat near station,1406783,Alicia,,Oud-Noord,52.38537,4.90241,Entire home/apt,87,30,62,2018-06-30,0.41,2,274,0,Exempt
667305,"Green, sportive experience in A'dam",3375589,Fred Alexander,,Noord-West,52.41878,4.89397,Entire home/apt,189,5,43,2024-10-26,0.30,1,350,6,0363 1466 FFED D078 9856
683431,Nice Room near to RAI and downtown,2309485,Ned,,De Pijp - Rivierenbuurt,52.34557,4.8962,Private room,81,1,721,2025-02-24,5.59,1,116,67,0363 0BD4 E0F6 EDD1 59C7
685990,Room privacy near centre Amsterdam,3498674,Nadia,,Geuzenveld - Slotermeer,52.38296,4.83786,Private room,66,4,416,2025-02-22,2.74,2,314,40,0363 E7AB 3034 7C9C 1348
689623,City beach apartment,2272095,Katinka,,Centrum-Oost,52.3737,4.92581,Entire home/apt,120,14,95,2025-01-02,0.66,1,43,6,0363 4EFA 63D8 DADD 844A
693675,2 rooms in beautiful appartment near Vondelpark,3548522,Susanne,,De Baarsjes - Oud-West,52.35925,4.8514,Entire home/apt,86,1,11,2018-09-02,0.08,3,0,0,0363 8350 2AA2 28A1 C258
694850,Quiet room in Amsterdam Center,3556421,Mirjam,,Centrum-West,52.37276,4.89707,Private room,,2,761,2025-01-01,5.03,1,0,7,0363 D97F BD02 AF62 7D7C
696113,Fabulous design at the park & lake.,3564543,Daniel,,IJburg - Zeeburgereiland,52.36158,4.97639,Entire home/apt,233,6,26,2024-07-13,0.17,1,200,2,0363 E46F 1FD2 518B BF66
697153,"Lovely house, centrally located!",680246,Jennifer,,Bos en Lommer,52.37455544434648,4.839840069484753,Entire home/apt,,2,0,,,1,0,0,0363A4F82CA4BF6F9D34
698672,Cosy and stylish flat in popular Oud-West,2302855,Miriam,,De Baarsjes - Oud-West,52.36706,4.86465,Entire home/apt,,3,60,2023-08-29,0.40,1,0,0,03637BFAE25DBC11BCF7
702894,"Cozy and light in Bos en Lommer, 96 m²",3607736,Elmar,,Bos en Lommer,52.37449,4.84762,Entire home/apt,,5,85,2020-01-05,0.56,2,0,0,0363 6182 608D 7182 A73D
708528,Independent Studio in 'De Pijp',3644216,Jeremie,,De Pijp - Rivierenbuurt,52.35537,4.89477,Private room,171,3,258,2024-10-24,2.32,1,27,20,0363 98FB 79D3 2FEE 28D8
716107,Loft style home nearby city centre,3689867,Marijke,,De Baarsjes - Oud-West,52.36462,4.86824,Entire home/apt,,3,172,2024-09-02,1.16,1,2,8,0363 0014 1E57 F097 81A5
728144,Beautiful loft in center Amsterdam,3775786,Aren,,Centrum-Oost,52.36112,4.89632,Entire home/apt,528,2,147,2024-09-09,0.98,1,66,9,0363 5EC5 F20A E363 206D
728145,Superb loft apartment in de Pijp!,1902079,Martijn,,De Pijp - Rivierenbuurt,52.35258865356445,4.894248962402344,Entire home/apt,,2,67,2025-02-28,0.45,1,61,5,0363 F5CC 615C 7B38 253B
729260,Great location modern apartment,3788198,Martin,,Centrum-West,52.38079,4.88536,Entire home/apt,184,2,105,2024-10-21,0.70,1,158,3,0363 F6EF 50E3 40EB 1CFB
729317,Suite 2 Stay - studio Beautiful Barok - canal area,3788673,Laurens En Petra,,Centrum-Oost,52.36052,4.89568,Private room,129,3,193,2025-01-01,2.01,2,137,38,0363 EC5F 15FE 498F 9173
730916,Room with a view,3267693,Santiago & Tony,,Westerpark,52.3731,4.86859,Private room,,3,453,2024-09-29,3.03,1,0,23,0363 AC47 89D1 F988 70CA
733654,FAMILY HOME WITH SUNNY PRIVATE GARDEN IN CENTER,3823268,Geerke,,Centrum-Oost,52.37098,4.9227,Entire home/apt,,5,14,2023-08-22,0.09,1,0,0,0363 14BA 84A0 A482 3B0B
740616,Private Room at our LoveNest in Amsterdam,3846003,Patricia And Carlos,,Centrum-Oost,52.36256,4.9108,Private room,89,3,77,2019-06-15,0.51,1,30,0,0363 52AD E309 9B3D 72F7
741043,Modern  stylish villa: My Amsterdam Houseboat,3877342,Nicole,,Westerpark,52.37654,4.87003,Entire home/apt,687,2,80,2024-11-20,0.54,3,253,16,0363 96BE 3082 7DDB 9575
742160,Historical sailing ship in the center of Amsterdam,1582128,Jorn,,Centrum-Oost,52.36866,4.92071,Entire home/apt,385,2,146,2025-03-02,0.99,2,242,15,Exempt
744659,Private luxury B&B near Amstel,3518386,Kristel,,Oud-Oost,52.35659,4.90827,Private room,143,2,335,2025-02-16,2.23,1,213,59,0363 C453 AB43 D5F5 6DAC
746067,Beautiful apartment in canal house,3713242,Barbara,,Centrum-West,52.38295,4.88726,Entire home/apt,,5,91,2024-06-04,0.62,1,0,6,0363 1B4D A947 7005 0B07
747847,nice cozy room near Vondelpark,3548522,Susanne,,De Baarsjes - Oud-West,52.36131,4.8519,Private room,60,2,40,2018-06-23,0.29,3,1,0,0363 8350 2AA2 28A1 C258
751626,"Light, quiet, cozy, central",3703205,Judith,,Oud-Oost,52.35206604003906,4.915624141693115,Entire home/apt,,1,32,2024-09-10,0.21,1,0,8,0363 26D3 6666 F3DC 384B
754613,Canal house - Heart of Amsterdam,3970753,Take & Eline,,Centrum-Oost,52.37266,4.90456,Entire home/apt,264,3,470,2025-03-02,3.20,1,238,59,0363 DBD3 72A7 CE0C B37C
755431,A special spot near the Jordaan ideal for two,3975477,Anna And Robert,,De Baarsjes - Oud-West,52.37066,4.87405,Private room,120,2,344,2025-02-24,2.46,1,159,60,0363 FB2E 260E BE6C 44C2
758475,"Central apartment 50m2, Old West Jordaan.",1387938,Mathi,,De Baarsjes - Oud-West,52.36827,4.87107,Entire home/apt,,6,39,2020-07-11,0.26,1,0,0,0363 D3E7 CE96 D44D 9D64
759060,Spacious delightful Canalhouse,4000086,Ingo & Marlies,,Centrum-West,52.36754,4.88733,Entire home/apt,,3,106,2021-08-20,0.72,1,0,0,0363 D4FC 15B7 5915 A042
759299,beautiful spacious appartment near Vondelpark,3548522,Susanne,,De Baarsjes - Oud-West,52.36115,4.85209,Entire home/apt,250,3,16,2025-01-02,0.12,3,59,3,0363 8350 2AA2 28A1 C258
761411,Amsterdam sweethome - Clean Quiet Safe,4013546,Xsjong,,Noord-Oost,52.40164,4.95106,Private room,60,3,343,2024-10-20,2.29,2,243,21,0363 D4AD DCF3 E72A 56A2
768274,Amazing Canal Loft,3678216,J & R,,Westerpark,52.38855,4.88521,Entire home/apt,341,3,83,2024-05-21,0.59,1,121,2,0363 7A50 18E7 51D1 B7F9
