Datum,Produkt,Verkaufte Menge,Einnahmen (EUR)
2025-01-09,Zitrone,14,8.4
2024-12-25,Zitrone,21,12.6
2024-12-31,Paprika,1,1.0
2024-12-27,Banane,3,0.9
2024-12-23,Apfel,6,3.0
2025-01-09,Paprika,47,47.0
2025-01-04,Apfel,22,11.0
2024-12-18,Karotte,23,9.2
2025-01-01,Orange,36,23.4
2024-12-16,Zitrone,7,4.2
2024-12-25,Apfel,12,6.0
2024-12-26,Karotte,24,9.6
2025-01-10,Paprika,2,2.0
2025-01-02,Karotte,25,10.0
2024-12-15,Karotte,38,15.2
2024-12-15,Tomate,39,27.3
2024-12-27,Gurke,8,6.4
2024-12-30,Orange,23,14.95
2024-12-19,Orange,44,28.6
2024-12-16,Gurke,29,23.2
2024-12-15,Gurke,1,0.8
2025-01-07,Paprika,14,14.0
2025-01-08,Apfel,40,20.0
2025-01-12,Karotte,6,2.4
2024-12-22,Orange,30,19.5
2025-01-10,Paprika,34,34.0
2024-12-14,Orange,3,1.95
2025-01-01,Banane,28,8.4
2024-12-29,Zitrone,28,16.8
2025-01-06,Gurke,16,12.8
2025-01-11,Apfel,48,24.0
2024-12-24,Orange,12,7.8
2024-12-16,Apfel,15,7.5
2024-12-23,Tomate,1,0.7
2024-12-16,Zitrone,42,25.2
2025-01-03,Tomate,4,2.8
2024-12-15,Orange,13,8.45
2025-01-02,Zitrone,12,7.2
2024-12-20,Paprika,39,39.0
2025-01-02,Paprika,24,24.0
2024-12-30,Orange,4,2.6
2024-12-28,Banane,14,4.2
2024-12-27,Orange,14,9.1
2024-12-23,Tomate,6,4.2
2024-12-28,Karotte,11,4.4
2025-01-03,Gurke,11,8.8
2024-12-22,Tomate,37,25.9
2024-12-19,Banane,30,9.0
2024-12-15,Paprika,42,42.0
2025-01-03,Karotte,30,12.0
2024-12-19,Banane,18,5.4
2024-12-23,Orange,4,2.6
2024-12-26,Paprika,50,50.0
2025-01-09,Karotte,5,2.0
2024-12-31,Zitrone,37,22.2
2025-01-02,Tomate,5,3.5
2025-01-06,Karotte,47,18.8
2025-01-08,Apfel,50,25.0
2025-01-03,Zitrone,35,21.0
2024-12-26,Paprika,20,20.0
2025-01-12,Zitrone,46,27.6
2025-01-04,Karotte,16,6.4
2024-12-26,Karotte,20,8.0
2024-12-28,Zitrone,20,12.0
2024-12-14,Zitrone,26,15.6
2025-01-07,Tomate,16,11.2
2024-12-26,Karotte,30,12.0
2024-12-15,Zitrone,7,4.2
2025-01-09,Banane,10,3.0
2025-01-10,Apfel,1,0.5
2025-01-12,Apfel,50,25.0
2025-01-02,Apfel,18,9.0
2024-12-21,Tomate,48,33.6
2025-01-11,Orange,50,32.5
2024-12-23,Apfel,21,10.5
2025-01-05,Banane,30,9.0
2025-01-11,Paprika,17,17.0
2024-12-15,Apfel,39,19.5
2024-12-20,Gurke,13,10.4
2024-12-29,Tomate,13,9.1
2025-01-12,Gurke,1,0.8
2025-01-07,Banane,29,8.7
2025-01-12,Gurke,17,13.6
2024-12-15,Paprika,31,31.0
2024-12-14,Gurke,1,0.8
2024-12-15,Gurke,15,12.0
2025-01-08,Karotte,18,7.2
2024-12-25,Zitrone,25,15.0
2025-01-06,Zitrone,28,16.8
2025-01-11,Gurke,35,28.0
2025-01-03,Tomate,50,35.0
2024-12-28,Orange,16,10.4
2024-12-16,Banane,3,0.9
2024-12-27,Karotte,49,19.6
2024-12-18,Zitrone,19,11.4
2025-01-10,Zitrone,48,28.8
2025-01-09,Orange,42,27.3
2025-01-12,Orange,45,29.25
2024-12-24,Apfel,30,15.0
2025-01-01,Zitrone,39,23.4
2025-01-02,Zitrone,6,3.6
2025-01-10,Gurke,35,28.0
2024-12-20,Zitrone,1,0.6
2025-01-04,Zitrone,16,9.6
2024-12-24,Zitrone,46,27.6
2024-12-28,Karotte,22,8.8
2025-01-09,Gurke,45,36.0
2024-12-18,Banane,28,8.4
2025-01-01,Banane,40,12.0
2024-12-27,Karotte,40,16.0
2024-12-31,Zitrone,16,9.6
2025-01-08,Gurke,15,12.0
2024-12-16,Karotte,5,2.0
2025-01-06,Apfel,29,14.5
2025-01-08,Paprika,17,17.0
2025-01-03,Karotte,46,18.4
2025-01-03,Orange,20,13.0
2025-01-09,Tomate,48,33.6
2025-01-06,Paprika,33,33.0
2025-01-05,Orange,14,9.1
2024-12-14,Paprika,42,42.0
2025-01-01,Gurke,43,34.4
2024-12-17,Paprika,27,27.0
2024-12-25,Zitrone,23,13.8
2024-12-26,Tomate,45,31.5
2024-12-24,Orange,34,22.1
2025-01-05,Karotte,48,19.2
2025-01-10,Paprika,22,22.0
2024-12-17,Orange,45,29.25
2024-12-16,Karotte,22,8.8
2025-01-04,Gurke,38,30.4
2024-12-27,Gurke,41,32.8
2024-12-30,Orange,39,25.35
2025-01-02,Gurke,23,18.4
2024-12-18,Karotte,5,2.0
2024-12-15,Tomate,32,22.4
2025-01-08,Zitrone,5,3.0
2024-12-19,Gurke,22,17.6
2024-12-21,Tomate,5,3.5
2024-12-22,Banane,20,6.0
2025-01-05,Gurke,27,21.6
2024-12-22,Gurke,14,11.2
2024-12-21,Zitrone,26,15.6
2024-12-31,Banane,13,3.9
2025-01-12,Banane,31,9.3
2025-01-11,Orange,29,18.85
2024-12-24,Banane,8,2.4
2025-01-01,Zitrone,17,10.2
2025-01-10,Gurke,14,11.2
2024-12-15,Banane,18,5.4
2024-12-27,Gurke,15,12.0
2024-12-30,Apfel,14,7.0
2024-12-21,Tomate,1,0.7
2025-01-08,Tomate,9,6.3
2025-01-08,Gurke,42,33.6
2024-12-19,Banane,19,5.7
2024-12-25,Banane,33,9.9
2024-12-28,Zitrone,22,13.2
2024-12-30,Zitrone,31,18.6
2025-01-10,Banane,14,4.2
2025-01-09,Apfel,41,20.5
2024-12-31,Karotte,34,13.6
2024-12-30,Karotte,5,2.0
2025-01-04,Orange,44,28.6
2025-01-05,Karotte,35,14.0
2024-12-17,Apfel,36,18.0
2024-12-21,Gurke,8,6.4
2024-12-18,Apfel,5,2.5
2024-12-29,Gurke,47,37.6
2025-01-10,Zitrone,42,25.2
2024-12-23,Gurke,48,38.4
2024-12-31,Zitrone,6,3.6
2025-01-11,Orange,38,24.7
2024-12-17,Apfel,2,1.0
2024-12-31,Paprika,33,33.0
2024-12-20,Banane,45,13.5
2024-12-15,Tomate,25,17.5
2024-12-28,Zitrone,27,16.2
2024-12-15,Gurke,43,34.4
2025-01-02,Paprika,41,41.0
2025-01-10,Apfel,37,18.5
2025-01-03,Gurke,32,25.6
2024-12-23,Banane,21,6.3
2024-12-17,Tomate,39,27.3
2024-12-28,Karotte,13,5.2
2025-01-12,Orange,5,3.25
2025-01-06,Gurke,18,14.4
2025-01-06,Orange,40,26.0
2024-12-30,Zitrone,29,17.4
2024-12-28,Gurke,37,29.6
2024-12-20,Tomate,20,14.0
2025-01-12,Banane,12,3.6
2025-01-03,Karotte,37,14.8
2025-01-01,Zitrone,29,17.4
2024-12-26,Orange,6,3.9
2024-12-14,Gurke,4,3.2
2024-12-15,Orange,14,9.1
2025-01-01,Banane,18,5.4
2024-12-15,Tomate,21,14.7
2025-01-09,Zitrone,12,7.2
2025-01-05,Tomate,35,24.5
2025-01-10,Paprika,42,42.0
2024-12-29,Orange,21,13.65
2024-12-23,Karotte,41,16.4
2024-12-20,Zitrone,1,0.6
2025-01-09,Orange,33,21.45
2025-01-02,Paprika,48,48.0
2025-01-11,Banane,36,10.8
2025-01-09,Orange,35,22.75
2025-01-02,Banane,14,4.2
2024-12-20,Apfel,39,19.5
2024-12-14,Karotte,5,2.0
2025-01-08,Paprika,31,31.0
2025-01-05,Gurke,8,6.4
2025-01-08,Paprika,45,45.0
2024-12-20,Paprika,50,50.0
2024-12-16,Banane,23,6.9
2024-12-30,Banane,3,0.9
2025-01-12,Apfel,17,8.5
2024-12-27,Tomate,42,29.4
2025-01-09,Zitrone,49,29.4
2024-12-23,Banane,23,6.9
2025-01-07,Apfel,40,20.0
2025-01-09,Apfel,27,13.5
2025-01-10,Gurke,16,12.8
2025-01-08,Apfel,25,12.5
2025-01-06,Karotte,1,0.4
2024-12-17,Orange,26,16.9
2025-01-02,Gurke,31,24.8
2025-01-01,Apfel,12,6.0
2024-12-30,Paprika,17,17.0
2024-12-18,Tomate,5,3.5
2025-01-01,Paprika,44,44.0
2024-12-29,Zitrone,29,17.4
2024-12-21,Karotte,30,12.0
2025-01-12,Paprika,9,9.0
2024-12-26,Karotte,41,16.4
2025-01-11,Tomate,50,35.0
2024-12-21,Orange,28,18.2
2024-12-14,Orange,1,0.65
2025-01-11,Gurke,45,36.0
2024-12-14,Tomate,3,2.1
2025-01-10,Gurke,5,4.0
2024-12-18,Orange,13,8.45
2024-12-26,Paprika,16,16.0
2024-12-18,Zitrone,15,9.0
2024-12-24,Apfel,13,6.5
2025-01-03,Banane,34,10.2
2024-12-15,Orange,8,5.2
2024-12-29,Apfel,17,8.5
2025-01-02,Paprika,1,1.0
2024-12-20,Gurke,11,8.8
2024-12-25,Zitrone,44,26.4
2024-12-20,Apfel,35,17.5
2024-12-26,Banane,32,9.6
2025-01-04,Zitrone,44,26.4
2024-12-14,Karotte,46,18.4
2024-12-28,Zitrone,48,28.8
2024-12-18,Zitrone,4,2.4
2024-12-24,Apfel,25,12.5
2025-01-12,Apfel,44,22.0
2024-12-28,Zitrone,30,18.0
2025-01-08,Tomate,45,31.5
2024-12-18,Orange,38,24.7
2025-01-05,Orange,18,11.7
2025-01-07,Tomate,41,28.7
2024-12-26,Orange,37,24.05
2024-12-15,Zitrone,14,8.4
2024-12-20,Zitrone,33,19.8
2024-12-29,Gurke,44,35.2
2024-12-21,Karotte,28,11.2
2025-01-09,Apfel,44,22.0
2024-12-15,Zitrone,27,16.2
2025-01-03,Tomate,11,7.7
2024-12-20,Tomate,29,20.3
2024-12-17,Banane,35,10.5
2025-01-07,Karotte,2,0.8
2024-12-31,Tomate,50,35.0
2024-12-16,Apfel,26,13.0
2024-12-26,Tomate,26,18.2
2024-12-27,Orange,45,29.25
2025-01-01,Orange,45,29.25
2024-12-26,Zitrone,40,24.0
2024-12-14,Orange,29,18.85
2024-12-31,Tomate,37,25.9
2024-12-16,Tomate,3,2.1
2024-12-31,Paprika,6,6.0
2025-01-02,Apfel,31,15.5
2025-01-06,Gurke,18,14.4
2024-12-27,Banane,10,3.0
2024-12-30,Gurke,25,20.0
2024-12-28,Gurke,10,8.0
2025-01-06,Gurke,31,24.8
2025-01-01,Orange,26,16.9
2024-12-25,Tomate,46,32.2
2024-12-18,Banane,24,7.2
2024-12-15,Orange,15,9.75
2024-12-21,Banane,33,9.9
2024-12-21,Gurke,12,9.6
2024-12-16,Zitrone,7,4.2
2024-12-22,Orange,34,22.1
2025-01-09,Gurke,12,9.6
2024-12-24,Gurke,49,39.2
2025-01-11,Paprika,48,48.0
2024-12-18,Banane,42,12.6
2024-12-30,Paprika,35,35.0
2024-12-14,Paprika,12,12.0
2024-12-31,Paprika,20,20.0
2025-01-03,Orange,10,6.5
2024-12-16,Gurke,9,7.2
2025-01-02,Paprika,27,27.0
2025-01-09,Zitrone,43,25.8
2024-12-18,Apfel,31,15.5
2025-01-08,Karotte,32,12.8
2025-01-12,Gurke,16,12.8
2024-12-19,Paprika,36,36.0
2024-12-20,Tomate,21,14.7
2024-12-15,Orange,29,18.85
2024-12-25,Tomate,8,5.6
2025-01-04,Paprika,44,44.0
2024-12-16,Karotte,48,19.2
2025-01-08,Orange,36,23.4
2024-12-23,Zitrone,39,23.4
2024-12-29,Paprika,8,8.0
2024-12-28,Banane,7,2.1
2024-12-26,Apfel,41,20.5
2024-12-18,Tomate,1,0.7
2024-12-25,Tomate,49,34.3
2024-12-29,Paprika,45,45.0
2025-01-09,Karotte,47,18.8
2025-01-01,Apfel,24,12.0
2024-12-24,Paprika,44,44.0
2024-12-24,Paprika,20,20.0
2025-01-04,Gurke,49,39.2
2025-01-10,Tomate,17,11.9
2024-12-25,Banane,13,3.9
2024-12-15,Tomate,40,28.0
2025-01-08,Tomate,8,5.6
2025-01-12,Gurke,34,27.2
2025-01-09,Tomate,9,6.3
2025-01-02,Gurke,9,7.2
2024-12-20,Apfel,40,20.0
2024-12-14,Zitrone,44,26.4
2024-12-17,Paprika,14,14.0
2024-12-31,Banane,26,7.8
2024-12-29,Banane,42,12.6
2025-01-08,Banane,15,4.5
2024-12-16,Tomate,36,25.2
2024-12-20,Zitrone,9,5.4
2024-12-21,Karotte,32,12.8
2024-12-14,Gurke,50,40.0
2024-12-27,Zitrone,44,26.4
2024-12-29,Tomate,31,21.7
2025-01-12,Apfel,10,5.0
2025-01-06,Gurke,20,16.0
2024-12-20,Tomate,10,7.0
2024-12-31,Tomate,37,25.9
2025-01-10,Banane,3,0.9
2024-12-17,Paprika,40,40.0
2024-12-26,Orange,14,9.1
2025-01-06,Tomate,8,5.6
2024-12-22,Orange,5,3.25
2025-01-07,Paprika,13,13.0
2025-01-04,Paprika,20,20.0
2025-01-07,Gurke,16,12.8
2024-12-19,Orange,40,26.0
2024-12-31,Orange,9,5.85
2024-12-27,Banane,16,4.8
2025-01-10,Zitrone,20,12.0
2025-01-08,Tomate,44,30.8
2024-12-19,Tomate,38,26.6
2024-12-17,Tomate,24,16.8
2024-12-26,Apfel,25,12.5
2024-12-28,Karotte,19,7.6
2025-01-07,Orange,24,15.6
2024-12-28,Zitrone,39,23.4
2024-12-17,Paprika,29,29.0
2024-12-28,Gurke,7,5.6
2024-12-25,Karotte,12,4.8
2025-01-11,Tomate,8,5.6
2024-12-23,Orange,42,27.3
2024-12-28,Karotte,18,7.2
2024-12-21,Apfel,37,18.5
2024-12-14,Banane,47,14.1
2024-12-31,Banane,31,9.3
2024-12-21,Apfel,7,3.5
2025-01-11,Orange,21,13.65
2024-12-14,Zitrone,11,6.6
2025-01-03,Tomate,25,17.5
2025-01-05,Tomate,39,27.3
2024-12-18,Apfel,18,9.0
2024-12-18,Banane,44,13.2
2024-12-27,Paprika,18,18.0
2024-12-15,Karotte,13,5.2
2024-12-14,Paprika,15,15.0
2025-01-05,Orange,46,29.9
2024-12-29,Paprika,14,14.0
2025-01-07,Orange,44,28.6
2025-01-08,Tomate,30,21.0
2024-12-19,Zitrone,39,23.4
2024-12-21,Orange,44,28.6
2024-12-16,Banane,8,2.4
2024-12-16,Apfel,32,16.0
2024-12-25,Tomate,13,9.1
2025-01-12,Banane,12,3.6
2024-12-14,Banane,47,14.1
2024-12-17,Orange,4,2.6
2024-12-23,Tomate,17,11.9
2024-12-31,Tomate,31,21.7
2025-01-09,Banane,16,4.8
2024-12-27,Banane,9,2.7
2024-12-26,Karotte,24,9.6
2025-01-07,Paprika,39,39.0
2024-12-14,Banane,14,4.2
2024-12-31,Zitrone,7,4.2
2024-12-16,Paprika,34,34.0
2024-12-27,Tomate,28,19.6
2024-12-18,Karotte,37,14.8
2024-12-21,Gurke,5,4.0
2024-12-29,Apfel,40,20.0
2024-12-20,Karotte,43,17.2
2025-01-12,Tomate,21,14.7
2025-01-01,Tomate,38,26.6
2024-12-24,Tomate,28,19.6
2025-01-12,Orange,48,31.2
2024-12-21,Gurke,20,16.0
2024-12-30,Paprika,40,40.0
2024-12-30,Zitrone,20,12.0
2024-12-14,Tomate,11,7.7
2025-01-12,Tomate,33,23.1
2024-12-20,Zitrone,39,23.4
2024-12-27,Apfel,7,3.5
2024-12-14,Tomate,23,16.1
2024-12-17,Apfel,50,25.0
2024-12-26,Gurke,5,4.0
2025-01-01,Karotte,39,15.6
2025-01-09,Paprika,38,38.0
2024-12-26,Paprika,50,50.0
2024-12-26,Orange,33,21.45
2024-12-18,Karotte,4,1.6
2024-12-16,Karotte,28,11.2
2025-01-01,Tomate,13,9.1
2024-12-31,Zitrone,38,22.8
2024-12-18,Banane,16,4.8
2025-01-09,Banane,35,10.5
2024-12-14,Apfel,3,1.5
2024-12-17,Orange,29,18.85
2024-12-17,Banane,14,4.2
2025-01-07,Tomate,45,31.5
2024-12-23,Orange,25,16.25
2025-01-08,Paprika,34,34.0
2024-12-25,Zitrone,35,21.0
2025-01-08,Tomate,40,28.0
2024-12-25,Orange,13,8.45
2024-12-25,Zitrone,5,3.0
2024-12-18,Paprika,19,19.0
2024-12-29,Gurke,39,31.2
2024-12-28,Banane,1,0.3
2025-01-09,Karotte,44,17.6
2024-12-16,Zitrone,2,1.2
2024-12-25,Banane,15,4.5
2025-01-02,Apfel,7,3.5
2025-01-01,Banane,22,6.6
2025-01-05,Zitrone,2,1.2
2024-12-25,Tomate,26,18.2
2024-12-17,Tomate,48,33.6
2025-01-04,Zitrone,38,22.8
2025-01-11,Tomate,15,10.5
2025-01-03,Zitrone,35,21.0
2025-01-10,Banane,43,12.9
2024-12-21,Banane,16,4.8
2025-01-10,Banane,48,14.4
2024-12-24,Tomate,36,25.2
2024-12-19,Paprika,50,50.0
2024-12-16,Banane,7,2.1
2025-01-06,Orange,36,23.4
2025-01-05,Karotte,18,7.2
2024-12-22,Banane,17,5.1
2024-12-28,Orange,49,31.85
2025-01-08,Tomate,18,12.6
2025-01-03,Tomate,32,22.4
2025-01-06,Banane,42,12.6
2025-01-01,Karotte,43,17.2
2025-01-09,Orange,12,7.8
2024-12-17,Karotte,33,13.2
2024-12-29,Karotte,35,14.0
2024-12-20,Banane,34,10.2
2024-12-16,Paprika,28,28.0
2024-12-18,Paprika,43,43.0
2025-01-02,Zitrone,46,27.6
2024-12-15,Paprika,49,49.0
2025-01-05,Banane,25,7.5
2024-12-27,Gurke,19,15.2
2024-12-20,Paprika,32,32.0
2025-01-08,Karotte,41,16.4
2024-12-18,Gurke,38,30.4
2024-12-23,Apfel,39,19.5
2025-01-12,Karotte,21,8.4
2024-12-26,Gurke,43,34.4
2024-12-23,Zitrone,32,19.2
2024-12-26,Tomate,36,25.2
2024-12-18,Paprika,27,27.0
2024-12-29,Tomate,3,2.1
2025-01-05,Gurke,27,21.6
2025-01-03,Zitrone,42,25.2
2024-12-17,Gurke,43,34.4
2024-12-31,Orange,14,9.1
2024-12-15,Banane,42,12.6
2024-12-22,Paprika,29,29.0
2024-12-22,Zitrone,21,12.6
2024-12-26,Tomate,44,30.8
2024-12-29,Apfel,6,3.0
2025-01-11,Banane,46,13.8
2024-12-14,Zitrone,38,22.8
2024-12-31,Banane,44,13.2
2024-12-27,Zitrone,26,15.6
2025-01-08,Karotte,16,6.4
2025-01-08,Gurke,16,12.8
2025-01-09,Gurke,27,21.6
2024-12-18,Banane,19,5.7
2024-12-20,Paprika,39,39.0
2024-12-24,Zitrone,42,25.2
2024-12-27,Karotte,1,0.4
2024-12-23,Tomate,15,10.5
2024-12-26,Orange,29,18.85
2025-01-04,Banane,45,13.5
2024-12-25,Paprika,48,48.0
2025-01-11,Zitrone,28,16.8
2024-12-31,Paprika,39,39.0
2024-12-18,Apfel,47,23.5
2024-12-17,Gurke,22,17.6
2024-12-30,Apfel,27,13.5
2025-01-11,Karotte,44,17.6
2025-01-05,Zitrone,38,22.8
